Supplemental Data. Flowers et al. (2015). Plant Cell Plant Cell 10.1105/tpc.15.00492
Gene_ID	Transcript_ID	piN	piS	piNpiS	Nonsynonymous	Synonymous
Cre01.g011650	Cre01.g011650.t2.1	0.00819032023589484	0.0386201003460075	0.212074027838241	14	27
Cre01.g011700	Cre01.g011700.t1.2	0.00576784956867586	0.0498935512710413	0.115603107450553	10	40
Cre01.g011800	Cre01.g011800.t1.3	0.0127315487844506	0.0359159273464318	0.354481972904298	112	110
Cre01.g011850	Cre01.g011850.t2.1	0.0191996858826041	0.0377557985662605	0.508522839184799	123	97
Cre01.g011900	Cre01.g011900.t1.3	0.0207879767109219	0.0453881780043732	0.458004212218409	149	134
Cre01.g011950	Cre01.g011950.t1.2	0.0150110679961932	0.0307501903687141	0.488161790746694	185	134
Cre01.g012000	Cre01.g012000.t1.3	0.0239705684806626	0.0384955346580443	0.622684389075072	415	244
Cre01.g012050	Cre01.g012050.t1.2	0.00345199048390168	0.0545421963550937	0.0632902727537355	8	41
Cre01.g012100	Cre01.g012100.t1.3	0.00585363720386135	0.0199688998660134	0.293137691266813	23	27
Cre01.g012126	Cre01.g012126.t1.2	0.00802920961022805	0.0462213246999045	0.173712234825772	25	49
Cre01.g012150	Cre01.g012150.t1.2	0.00179408785392234	0.028784806270052	0.0623275987022686	4	20
Cre01.g012177	Cre01.g012177.t1.2	0.022719245855552	0.0176709708050956	1.28568181715295	8	3
Cre01.g012244	Cre01.g012244.t1.2	0.00703038010902641	0.01949118228709	0.36069541629001	2	3
Cre01.g012300	Cre01.g012300.t1.3	0.000576126913017255	0.00799621101551476	0.0720499886633078	1	4
Cre01.g012350	Cre01.g012350.t1.2	0.00408553431057754	0.0317309344907847	0.1287555622342	34	95
Cre01.g012400	Cre01.g012400.t1.2	0.00184059549802337	0.0286227904347767	0.0643052431319571	6	33
Cre01.g012450	Cre01.g012450.t1.3	0.00489452064185043	0.0448608891667031	0.109104405480292	153	609
Cre01.g012500	Cre01.g012500.t1.2	0.00151218628995069	0.0415317574995291	0.0364103611547823	2	22
Cre01.g012550	Cre01.g012550.t1.3	0.0161199343151583	0.0502778349706995	0.320617113377149	87	105
Cre01.g012600	Cre01.g012600.t1.3	0.00728885059741657	0.035299769003146	0.206484370953446	31	54
Cre01.g012650	Cre01.g012650.t1.3	0.0108456064083586	0.0548133095604971	0.197864469329085	107	245
Cre01.g012700	Cre01.g012700.t1.2	0.00531005960523697	0.0487766197225758	0.108864854420801	59	183
Cre01.g012750	Cre01.g012750.t1.3	0.0100149929369603	0.0458109362276014	0.218615766488663	93	184
Cre01.g012800	Cre01.g012800.t2.1	0.0068334969615328	0.0591903894158071	0.115449434088499	17	53
Cre01.g012850	Cre01.g012850.t1.2	0.0110306355989799	0.0548535200593331	0.20109257504438	97	210
Cre01.g012900	Cre01.g012900.t1.3	0.00457387780927344	0.057400061382871	0.0796841971781994	17	115
Cre01.g012950	Cre01.g012950.t2.1	0.00991411878678306	0.042100816833566	0.235485188469758	51	121
Cre01.g013000	Cre01.g013000.t1.3	0.0166526272487363	0.04201405007423	0.396358532903032	123	129
Cre01.g013050	Cre01.g013050.t1.3	0.0081314351288808	0.0485482144230228	0.167491950538652	45	86
Cre01.g013100	Cre01.g013100.t1.3	0.00822756862345688	0.0410370760155783	0.200491102736793	9	27
Cre01.g013150	Cre01.g013150.t1.2	0.00931303940553418	0.0497097253882676	0.18734843801274	5	12
Cre01.g013200	Cre01.g013200.t1.2	0.00656884335653609	0.0320759907016569	0.204790038057867	3	8
Cre01.g013250	Cre01.g013250.t1.3	0.00882110557240488	0.046838735445107	0.188329285335699	14	39
Cre01.g013300	Cre01.g013300.t1.1	0.00727131858974889	0.0363553831132548	0.200006655605779	23	66
Cre01.g013350	Cre01.g013350.t1.2	0.00100523311752212	0.0266911745684182	0.0376616291255892	2	17
Cre01.g013400	Cre01.g013400.t1.3	0.00838503465209986	0.0302124322456659	0.277535902568809	43	68
Cre01.g013450	Cre01.g013450.t1.2	0.00466111781753849	0.0366679237328351	0.127117036991232	8	28
Cre01.g013500	Cre01.g013500.t1.2	0.00543877105829994	0.0475026045289322	0.114494165367025	9	28
Cre01.g013550	Cre01.g013550.t1.3	0.00707284045283317	0.0238820106102694	0.296157663115342	35	48
Cre01.g013600	Cre01.g013600.t1.3	0.00412708283590497	0.0343414807358171	0.120177777646045	34	100
Cre01.g013650	Cre01.g013650.t1.3	0.00981782670394586	0.0376864171854609	0.260513666120894	73	111
Cre01.g013700	Cre01.g013700.t2.1	0	0.0271006680113909	0	0	17
Cre01.g013750	Cre01.g013750.t1.3	0.00861142888650531	0.0303058346214077	0.284150857222136	15	22
Cre01.g013769	Cre01.g013769.t1.2	0.00254099736962304	0.0315860827160828	0.0804467395486567	3	9
Cre01.g013801	Cre01.g013801.t1.2	0.00254872759120145	0.0301928239433691	0.0844150118578491	7	29
